pregunta,respuesta
¿Qué necesito para poder introducir las declaraciones de las plataformas tecnológicas?,Usted debe tener su RFC y contraseña o e.signature en su caso.
¿Cuál es el mejor navegador para usar?,"Google Chrome, Firefox y Safari."
¿Cómo sé si estoy obligado a hacer estas declaraciones?,"Si usted está establecido en México y proporciona servicios de intermediación digital (plataformas tecnológicas, aplicaciones informáticas y similares), se le pedirá que presente estas declaraciones."
¿Cómo sé si estoy obligado a hacer estas declaraciones?,"Si sus ingresos en el anterior ejercicio inmediato por las actividades realizadas con la intermediación no superan los 300 mil pesos al año, pero usted recibe pagos directamente de los usuarios, debe enviar su aviso para actualizar sus obligaciones y presentar estas declaraciones."
"Cuando la información que debe facilitarse corresponda a varias personas físicas, ¿podría llevarse a cabo de manera masiva?","La aplicación considera una opción para realizarlo masivamente, que se identificará como una carga por lotes."
¿Cuál es el mejor navegador para presentar una declaración?,"Chrome, Firefox, Safari y Edge."
"Soy una persona física que gravaba en RESICO, la autoridad me notificó un cambio en el Régimen de Actividad Empresarial y Profesional. ¿Cuál es el procedimiento para presentar mi declaración del impuesto sobre la renta en el nuevo régimen?",Debe presentar los estados de cuenta correspondientes desde el principio del impuesto sobre el Régimen de Actividad Empresarial y Profesional y elegir la opción “Pagos provisionales o definitivos”. Rellene el formulario.
"Soy una persona física que gravaba en RESICO, la autoridad me notificó un cambio en el régimen de arrendamiento. ¿Cuál es el procedimiento para presentar mi declaración del impuesto sobre la renta en el nuevo régimen?","Debe presentar las declaraciones correspondientes desde el momento en que comienza a gravar en el esquema de arrendamiento y elegir la opción “Provisional”. Seleccione la opción “ISR PERSONAS FÍSICAS, ARREGLO DE INMÉBLES”."
"Soy un contribuyente que gravaba a los individuos de RESICO, sin embargo, hice el pago del impuesto sobre la renta, ¿cómo puedo reducirlo en la declaración del nuevo régimen que voy a presentar?","Puede aplicar los pagos realizados en RESICO de acuerdo con lo siguiente:a) Pagos provisionales para el ejercicio 2022: Haga el cálculo correspondiente y aplique el pago realizado en la sección “Pago”, campo “Compensaciones” en el campo del Régimen de Confianza Simplificado."
"Soy un contribuyente que gravaba a los individuos de RESICO, sin embargo, dejé de gravar a ese régimen y quiero saber cómo debo presentar mi declaración del impuesto sobre el valor añadido.","La obligación de valor añadido se considera un pago definitivo que grava actos o actividades, no atiende a un régimen y su determinación es la misma en ambos casos.Fundamento legal: LIVA 5-D."
"Soy contribuyente al Régimen de Confianza Simplificada y quiero presentar estados complementarios para el ejercicio 2023, pero la solicitud sólo me da la opción de “Normal” y “Normal” para la corrección fiscal.",Se sugiere verificar en su Tarjeta de Identificación Tributaria que usted tiene el Régimen de Fideicomiso Simplificado y las obligaciones inherentes a las mismas “activas” ya que la solicitud muestra las obligaciones de declarar de acuerdo con lo que ha sido registrado en el Registro Federal de Contribuyentes.
¿Qué necesito para presentar una declaración?,"Para introducir la declaración, debe tener su RFC y contraseña o, si procede, por ejemplo."
¿Quién debe presentar estas declaraciones?,Personas físicas que pagan en el régimen de fideicomiso simplificado.
¿Cómo puedo localizar una deducción personal en particular?,"La aplicación tiene opciones adicionales para reducir una búsqueda, que son: RFC del emisor.Fólio fiscal.Período de emisión de CFDI.Tipo de deducción."
¿Cuándo se actualiza el Visor de Deducción Personal?,La fecha de la actualización aparece en la parte superior de su lista de deducciones precargadas cuando usted hace la consulta.
¿Por qué no recibo las facturas de crédito hipotecario en la visera?,"La información sobre este tipo de deducción podrá presentarse a partir del mes de febrero del ejercicio financiero correspondiente, una vez que se hayan comunicado los intereses de las organizaciones e instituciones del sector financiero y de los organismos públicos federales y estatales."
¿Qué información me muestra el visor de nómina del trabajador?,"Tiene varias maneras de consultar la información, incluyendo la acumulación anual total, donde usted sabrá la suma de todos los pagos realizados por sus empleadores. Anual, que contiene la información anualizada de los pagos recibidos para cada mes calendario, además, si su empleador hizo ajustes a sus vales más tarde, incluyendo los que resultan del ajuste anual que determina su patrón."
¿Qué información contiene el visor de nómina del trabajador?,"Los recortes de información para los CFDI de nómina varían según el año consultado. En este sentido, para el ejercicio 2017, el recorte que usted tiene es a partir del 27 de julio de 2018, recuerde que en la Resolución Fiscal Miscelánea se ha fijado el plazo para que los empleadores hagan correcciones a los correspondientes vales de nómina a partir del 18 de agosto de 2020."
¿Qué criterios considera la autoridad para integrar los comprobantes de nómina para cada mes del ejercicio financiero?,La agrupación mensual de los vales de nómina se basa en la fecha de pago del vale emitido por su empleador.
"Cuando navego dentro del visor de cheques de nómina del trabajador, si recibo alertas con un icono o mensajes amarillos, ¿qué significa esto?","Le permite identificar si hay un bono de impuestos con inconsistencias, en estos casos debe verificar el sello correcto con su empleador."
"¿Dónde puedo identificar qué percepciones y deducciones considera el SAT para agrupar la información de ingresos y retención por tipo de régimen: Sueldos y Salarios, Conceptos Similados, Jubilación y Compensación?",Bajo el Apéndice 6 de la Guía de Recibo de Nómina (con efecto a partir del 1 de septiembre de 2018) publicada en la página SAT.
¿La acumulación de ingresos y retenciones de mis trabajadores en el ejercicio que están considerando en el Visor de Prueba de Nómina del Máster se realiza sobre la base de la fecha de emisión del bono o la fecha de pago?,Esto se hace sobre la base de la fecha de pago.
The Skipper's Payroll Proof Viewer me envía el mensaje de que los vales fueron identificados con errores de mecanografía que no cumplen con el Apéndice 6 de la Guía de nómina ¿Cómo sé qué plugins de nómina son?,"En la vista mensual detallada en la parte inferior derecha, se muestra un archivo TXT descargable etiquetado como “Detalles de plugins con errores de escritura”, en el que se puede obtener la lista de plugins con error. Este archivo permite un máximo de 500 mil registros."
¿Esta herramienta complementa la presentación de la declaración anual de las personas morales del régimen jurídico general?,"Esta herramienta es sólo para visualizar cómo la información de los pagos realizados a sus trabajadores se concentra a través de los comprobantes de nómina que usted emitió y pagos provisionales que usted hizo durante el ejercicio, para averiguar el impuesto retenido que les correspondió y muestra la misma información que está prellenada en la declaración anual en la sección de deducciones para la deducibilidad de la nómina, por lo que puede ser de apoyo para que usted identifique el origen de la información mostrada."
¿Qué se necesita para introducir una declaración?,"Usted debe tener su RFC y contraseña, o en su caso, e.sign."
¿Puedo hacer una declaración del año anterior?,Pueden presentarse declaraciones normales inusuales o complementarias.
¿En qué exploradores puedo presentar mi declaración?,"Google Chrome, Firefox, Edge o Safari."
¿Puedo pagar en línea a través del sistema de pago electrónico?,"Antes de pagar, consulte a los bancos autorizados, que están en la sección ""Contenidos relacionados"" de esta página."
"Una vez que pago por mi procedimiento o servicio, ¿dónde presento el recibo bancario?","Usted debe presentar su recibo bancario con un sello digital en las oficinas de la unidad, entidad, órgano o agencia a la que solicitó el procesamiento o servicio."
¿Dónde puedo conseguir las hojas de ayuda?,"En el caso del SAT, le ofrecemos el formato de la Hoja de Ayuda en la sección Contenido relacionado, la opción ""Tratamientos y Servicios"" además de las otras Unidades, Entidades, Órganos y Órganos."
"¿Qué información necesito para hacer el pago de un derecho, producto o uso?","En el caso de personas físicas, nombres y apellidos del titular del pago, RFC y CURP, si usted los tiene, y el RFC y el nombre o el nombre comercial, si procede.Importe para pagar recargos, actualizaciones, multas e IVA."
"¿Puedo pagar una cuota, un producto o un uso conjunto?","Esto depende de los requisitos del proceso o servicio y de las disposiciones de las Unidades, Entidades, Órganos y Órganos, por lo que antes de hacer su pago comprobar la información en sus sitios web o en los teléfonos y oficinas de atención pública."
¿Cuál es el mejor momento para hacer un pago de línea de captura?,Usted tendrá que atender a las horas que las instituciones bancarias autorizadas han definido para sus medios de recibir pagos por ventana e Internet.
¿Dónde puedo consultar a las instituciones bancarias autorizadas a recibir pagos con línea de pago?,"En la sección ""Contenidos relacionados"" de esta página."
¿Qué instituciones bancarias autorizadas aceptan pagos con tarjeta de débito/crédito?,"• Banco Nacional del Ejército Fuerza Aérea y Armada, S.N.C. (Banjercito), Banorte, BBVA, Citibanamex, InbursaPara más información, consulte la sección ""contenido relacionado"" de esta página."
¿Cómo presento la declaración de información múltiple del IEPS?,"A través del Programa electrónico de declaración de información múltiple (Multi-IEPS) del IEPS, que puede obtener en la página del SAT."
¿Cómo actualizo el catálogo de puros y tabacos manufacturados?,Usted debe descargar el archivo “Catálogo de claves de marcas de toallas labrados” que se encuentra en “Contenidos relacionados” e importarlo en la aplicación “Multi-IEPS” desde el menú de herramientas y la opción “Actualizar catálogos”.
¿En qué medios se presenta la información?,"En Internet, cuando usted realiza capturas de hasta 40.000 registros, o en medios magnéticos, en cualquier oficina de SAT para más de 40k registros (500 registros para el anexo 6)."
"Con mi navegador no puedo firmar mi declaración para la entrega, ¿cómo puedo hacerlo?","Para poder firmar la declaración, debe instalar el programa Silverlight, siga estos pasos: descargue la aplicación desde la sección ""Contenidos relacionados"" de esta página, y luego instale la aplicación de acuerdo con las instrucciones del asistente."
"Si realicé una operación de financiación en 2019, donde acordé que los intereses serían de más de un año, y en 2020 hice el pago de esos intereses, ¿hay una obligación de presentar el formulario 76?","Sí, los pagos de intereses efectuados en 2020 deben ser declarados."
"Si no he realizado las operaciones pertinentes, ¿tengo la obligación de presentar el formulario 76?",No.
¿Cuál es la mejor manera de presentar una declaración?,Se debe utilizar la aplicación en el portal SAT.
¿Cuándo se presenta el formulario oficial 76 “Información de Operaciones de Relevancia”?,Durante ese período se han llevado a cabo operaciones en virtud del artículo 31-A del Código Fiscal Federal.
¿Cuál es la mejor manera de presentar una declaración?,"Debe enviarlo a través del Portal SAT, a través del formulario oficial 63 “Information Statement of Foreign Entities Sujet to Preferred Tax Regimes”, de conformidad con lo dispuesto en la Hoja de Procedimiento 116/ISR “Information Statement of the Foreign Entitutions Sujet to Preferred tax regimes” contenida en el Anexo 1-A del RMF."
¿En qué medios se presenta la información?,"Para las capturas con más de 40.000 registros, la información debe ser enviada a través de Internet a cualquier oficina SAT, unidad de memoria extraíble (USB) o CD, que se le devolverá una vez que se hayan realizado las respectivas validaciones."
¿Qué información necesito para presentar una declaración complementaria?,"Debe indicar el número de operación o folio asignado y la fecha de presentación de la declaración complementaria. Sólo debe acompañar los anexos o anexos complementarios e incluir la información que ha sido corregida y no modificada, así como la información general del declarante y el resumen global del anexo."
¿Cómo debo presentar mi declaración de información múltiple si realicé operaciones con partes relacionadas que residen en el territorio nacional?,"Si usted ha llevado a cabo operaciones con partes relacionadas residentes en territorio nacional, debe presentar su declaración utilizando el Anexo 9 de la Declaración de Información Múltiple."
"En caso de haber realizado operaciones con partes vinculadas residentes en el territorio nacional, ¿cómo debería rellenar la sección “Datos de identificación de la parte vinculada residente en el extranjero” del anexo 9 de la Declaración de Información Múltiple?","Si durante el año fiscal 2022 ha realizado transacciones con partes vinculadas residentes en territorio nacional, en la sección “Datos que identifican a la parte vinculada residente en el extranjero” debe capturar los datos relativos a la transacción con la que ha concluido declarar."
"En caso de haber realizado operaciones con partes vinculadas residentes en el territorio nacional, ¿cómo debo llenar el campo “Domicilio del residente en el extranjero” del anexo 9 de la Declaración de Información Múltiple?","Si durante el año fiscal 2022 realizas operaciones con personas vinculadas residentes en territorio nacional, en el campo “Domicilio del Residente en el extranjero”, deberás capturar el domicilio en territorio nacional de la persona vinculada residente en el territorio nacional con el que hayas celebrado la transacción."
"En caso de haber realizado operaciones con partes vinculadas residentes en el territorio nacional, ¿cómo debo rellenar el campo “Número de identificación fiscal” del anexo 9 de la Declaración de Información Múltiple?","Si durante el año fiscal 2022 usted llevó a cabo operaciones con partes vinculadas residentes en territorio nacional, en el campo “Número de identificación fiscal” usted debe capturar la clave en el RFC de la parte relacionada residente en el territorio nacional con el que usted celebró la transacción."
¿Cuáles son los requisitos para poder presentar mi declaración?,"La acreditación documental de la fecha de la transacción con la factura, nota o recibo correspondiente se tendrá en cuenta en los días en que el Banco de México no publique dicha cotización o tipo de cambio."
"Soy un contribuyente que tengo el beneficio de estimular la Región de la Frontera Sur o Norte, ¿en qué campo debo manifestar información sobre el valor de los actos o actividades?","En caso de que usted tenga el beneficio de estimular la región fronteriza norte, la región fronteriza sur o ambas, el campo donde usted debe manifestar la información del valor de los actos o actividades es el de la descripción: ""Valor del acto o actividades pagadas sujetas al estímulo de la región fronteriza norte""."
¿Qué es una carga por lotes?,"La “carga por lotes” es la conversión de las bases de datos de los registros de proveedores hechas por los contribuyentes en archivos de texto, que tienen la estructura necesaria para su aplicación e importación al sistema de declaración de operaciones de información de terceros, evitando la captura directa y optimizando el tiempo dedicado a su integración para la presentación oportuna y la forma de la SAT."
¿Permite la Declaración Informativa de Operaciones de Terceros (DIOT) la importación de información cargada por lotes?,Sí.
¿Dónde puede consultar cómo llevar a cabo el lote de la Declaración de Información de Operaciones de Terceros (DIOT)?,Puede consultar la información que se incluye en el programa haciendo clic en: Herramientas-Importar declaración-Layout del propio programa electrónico.
¿Cuál es el número de capturas que puedo hacer al presentar mi declaración?,"En caso de superar este número, deberán presentarse hasta 40 000 registros a cualquier ADSC, en disco compacto (CD), o unidad de memoria extraíble (USB), que se devolverá después de haber realizado la validez respectiva."
"¿Cómo voy a declarar en la nueva ""Declaración informativa para notarios públicos y otros federales (declaraNOT Online)""?","No es necesario descargar ninguna aplicación a su ordenador, si no completa el llenado, puede guardarla y continuarla más tarde.Las validaciónes se hacen en línea, por lo que en el momento de enviarla recibirá inmediatamente su acuse de recibo por cada declaración o aviso que se presente."
"¿Cómo presento la nueva ""Declaración informativa para notarios públicos y otros federales (declara NO en línea)""?","A través de la nueva aplicación de DeclaraNOT en línea, contenida en el portal SAT, que se rellena de acuerdo con las guías de llenado de la ""DeclaraciónNOT en línea"", que se encuentra en la sección de ""Contenidos relacionados""."
¿Qué tipo de obras de arte se presentan como impuestos?,"Las obras de arte que se pueden presentar al SAT como pago de impuestos son pinturas, grabados y esculturas que deben ser representativas de su trayectoria con características de tamaño y técnica similares a las obras vendidas o realizadas en los últimos tres años."
¿Cómo puedo calcular la cantidad de arte que tengo que pagar?,"Para calcular el pago de sus impuestos compruebe lo siguiente: Si vendió hasta 5 obras de arte en el año anterior, es a usted a pagar 1 trabajo, si vendió 6 a 8 obras, es a mí a pagar 2 obras, y si vendió 12 a 15 obras, usted está a pagar 3 obras."
¿Qué pasa si no puedo presentar mi declaración anual y obras de arte para pagar en el período establecido?,"Si no presenta la declaración anual y las obras de arte a pagar en tiempo y forma, se entiende que renuncia a la opción de pago en especie a menos que presente la correspondiente declaración extemporánea, acompañando una obra más de recargo por cada cuatro meses o fracción de retraso."
¿Hay alguna información disponible sobre las obras de arte presentadas como pago en especie en el SAT?,"En el registro de consulta pública, encontrará toda la información histórica y actual de las obras recibidas como pago en especie en el SAT."
¿Hay una lista de museos que reciben pagos en especie?,"El SAT no tiene una lista de museos autorizados para recibir pagos en especie, se puede elegir cualquier museo teniendo en cuenta que debe pertenecer a la Federación a una entidad federal, municipio, o agencia descentralizada de uno de ellos, reconocido por la autoridad cultural competente."
¿Qué tipo de obras puedo donar o entregar a un museo para pagar mis impuestos?,"Usted debe donar o entregar una obra de arte con las características de tamaño y técnica similares a las obras que ha vendido o producido en los últimos tres años. No incluyen el diseño industrial, artesanal, utilitario, cinematográfico, artes aplicadas, industrial o arquitectónico."
¿Cuáles son las opciones para la donación o entrega al museo para el pago en especie?,"Las opciones para la donación o entrega a un museo son las siguientes: Si las obras de arte son pintura, escultura o grabado, las obras a pagar (de 1 a 6) serán donadas al museo y las obras restantes tendrán que ser entregadas al SAT (artículo 7-C de la Ley del SAT).Donación de 5 a 30 obras de arte de acuerdo con el 500% en el tabulador, al museo establecido en México, sólo en este caso aplica el pago por los dos años siguientes, sin embargo el artista está sujeto a declaración anual."
Si vivo en la Ciudad de México ¿Puedo donar o entregar un trabajo en otro estado de la república?,"Si puedes donar o entregar obras de exhibición y preservación en cualquier estado de la república, recuerda que el museo que elijas debe pertenecer a la Federación, Estado, Municipio o organismo descentralizado de uno de los anteriores, reconocido por la autoridad cultural competente."
¿Cómo presento mi declaración anual de ISR?,"Usted debe presentarlo por medio de una caja de impuestos, acompañada de un registro de aceptación de la obra o de lo contrario."
¿Quién presenta el formulario oficial 59?,Las empresas dedicadas a la construcción y venta de habitaciones.
¿Cuándo no obtienes el beneficio del impuesto a la vivienda?,Cuando usted presenta las declaraciones de información normales o complementarias extemporáneamente.
"¿Conducirá la aplicación de las facilidades establecidas a un reembolso, compensación, acreditación o equilibrio en algún favor?",No.
¿Tiene alguna consecuencia si presento mi declaración anual fuera del período establecido?,"Al presentar la declaración anual de pago en especie en ceros fuera del período establecido, se considerará que abandona la opción de pagos en especie, a menos que presente la declaración después de ese período, acompañando un trabajo por cada cuatro meses o fracción de retraso."
¿Y si no he vendido mi trabajo en varios años?,Sólo debe presentar su declaración anual en ceros en tiempo y forma o en su caso puede presentar el aviso de plazo y en caso de venta de obras más tarde puede reanudar esta opción de pago mediante la presentación del aviso de inicio correspondiente.
"Si tengo que viajar al extranjero durante un largo período, ¿cómo presentar la declaración anual?","Si usted no tiene un representante legal, el representante legal puede presentar la declaración anual en su nombre, siempre que demuestre su personalidad con el poder notarial que le permita realizar los procedimientos ante el SAT."
¿Quién debería pagarlo?,"Personas físicas que prestan servicios profesionales, alquilan inmuebles, realizan actividades comerciales, industriales, agrícolas, ganaderas y forestales, entre otras, personas morales sujetas al impuesto sobre la renta, tales como: sociedades mercantiles, sociedades civiles, cooperativas de producción, asociaciones participantes."
¿Quién no está obligado a pagarlo o declararlo?,No están obligados a declarar o pagar el impuesto de sociedades hasta los límites que están exentos en la Ley del Impuesto sobre la Renta y siempre que estas personas estén en la RFC.Partidos políticos y sindicatos.Personas autorizadas para recibir donaciones deducibles del impuesto sobre la renta.
¿Qué tipo impositivo se aplica?,"A la totalidad de los ingresos realmente recibidos en un año, menos (reducir) las deducciones autorizadas para el mismo período. El resultado es aplicar la tasa de 16,5% en 2008, 17,9% en 2009 y 17,5 por ciento en 2010."
¿Qué es un trabajador por primera vez?,"Se trata de un trabajador que no ha registrado previamente un seguro con arreglo al plan obligatorio en el IMSS porque no ha prestado un servicio permanente o eventualmente remunerado, personal y subordinado a un empleador."
¿Qué deben prever los empleadores para aplicar la deducción adicional del contrato a los trabajadores por primera vez para la creación de nuevos puestos de trabajo?,"Los empleadores deben presentar la siguiente información: 1) El nombre completo, 2) El número de la seguridad social, 3) La clave única de inscripción de la población, 4) El registro de contribuyentes federales, 5) El importe del salario base de cotización con el que están registrados en el IMSS, y 6) el importe de las cotizaciones a la seguridad social pagadas."
¿Cuánto tiempo puede un trabajador por primera vez disfrutar de este beneficio?,"Tendrán la prestación durante un período de hasta 36 meses continuos, contados a partir del momento de su creación, período durante el cual el puesto será ocupado por un empleado por primera vez."
¿Qué necesito para presentar una declaración?,"Para introducir la declaración, debe tener su RFC y contraseña o e.firmature si es necesario. El envío se realizará utilizando e.firmature."
¿Cuál es el mejor navegador para presentar una declaración?,"Chrome, Firefox, Safari y Edge."
¿Quién debe presentar estas declaraciones?,Personas morales que hacen pagos a sus trabajadores.
¿Qué es el Servicio de Declaraciones y Pagos?,"Es una aplicación electrónica para que usted presente sus pagos provisionales o finales del ISR, IVA o IEPS, incluyendo retenciones, a través de medios electrónicos y formatos, así como corrección complementaria, extemporánea y fiscal a través del portal SAT."
¿Puedo presentar declaraciones de años anteriores en el Servicio de Declaraciones y Pagos?,Pueden presentarse declaraciones normales inusuales o complementarias.
¿Cómo inscribo una declaración?,Cuál es el botón de inicio. Proporcione su RFC y contraseña o e.sign.
"¿Cómo presentar las declaraciones de pagos provisionales correspondientes a mi régimen actual, a fin de cumplir con lo dispuesto en el artículo 2 Transicional de la Sexta Resolución de Enmiendas a la Resolución Miscelánea Fiscal 2022?","Si, antes del 1 de agosto, usted envió la “Aviso de Actualización de las Actividades y Obligaciones Económicas” para gravar desde el inicio del ejercicio en el régimen general, dejando el Régimen Simplificado de Confianza para las personas morales, entonces usted debe presentar una declaración provisional de tipo normal, para cada uno de los períodos que usted ha ignorado. Para lo anterior, para que la solicitud sea actualizada y precargar su información, entre la presentación de cada declaración debe ser 24 horas después del pago."
"He actualizado las disposiciones del Segundo Artículo Transitorio del Sexto MRMF para 2022, ¿Cómo puedo reducir mis pagos intermedios que presentaré, los pagos realizados a través de las declaraciones del régimen que Abandoné?","En las declaraciones que están presentes en el régimen actual, podrá reducir los pagos provisionales realizados en el régimen que dejó, en la sección donde registrará los datos de la declaración que pagó seleccionando la opción “Pago de la Miscelánea Fiscal para 2023”."
"Obtuve permiso para aplicar un coeficiente de utilidad más bajo desde el segundo semestre para determinar mis pagos provisionales, ¿cómo puedo registrar el coeficiente de utilidad que fui autorizado a aplicar?","Se mostrará el campo ""Coeficiente de utilidad autorizado"", haga clic en el botón ""Captura"" y registre la reducción del coeficiente de utilidad que fue autorizado en el comercio.Además, se hará otra actualización un día antes de la fecha de la obligación de presentar el período correspondiente.La información de las autorizaciones emitidas se actualiza una vez por semana, por lo que sugerimos esperar la información en la declaración."
¿Puedo presentar mi declaración de ejercicio post-2017?,"Actualmente, sólo le permite consultar su declaración de devolución de retorno, así como la reimpresión del acuse de recibo de la devolución."
¿Qué navegador se recomienda utilizar para ver el visor?,"Chrome, Firefox, Safari y Edge."
¿Quién puede consultar al espectador?,Personas morales que gravan bajo el régimen general y personas morales con fines no lucrativos para sus actividades comerciales o la prestación de servicios.
¿Puedo ver los detalles de las facturas en el visor de facturas?,"En esta aplicación no se puede consultar los detalles de las facturas, por lo que tendrá que introducir la consulta de facturas, disponible en la sección “factura electrónica” en la página principal del SAT."
¿Cómo sé si estoy obligado a presentar esta declaración?,"Si usted es una persona física y moral que vive en el extranjero sin un establecimiento en México que proporciona servicios digitales.Servicios de intermediación digital (plataformas tecnológicas, aplicaciones informáticas y similares)."
¿En qué fecha se precarga la información en la declaración?,"Al introducir la solicitud, le muestra las fechas de corte de los pagos provisionales y la nómina CFDI."
¿Qué navegador se recomienda para esta nueva herramienta?,Google Chrome y Firefox.
¿Cuál es la manera correcta de navegar dentro de una declaración?,"La aplicación tiene un orden de navegación lógico, por lo que debe introducir la pestaña de ingresos y hasta que complete los datos requeridos que le permitirá pasar a la pestaña Deducción y así sucesivamente hasta que llegue a la última pestaña que es la pestaña Datos adicionales."
¿Cuánto tiempo se llenará la información de diciembre?,"Si usted no tenía la cantidad a pagar, dentro de las 24 horas usted será capaz de ver la información una vez pagado."
¿Qué necesito para presentar una declaración?,"Para introducir la declaración, debe tener su RFC y contraseña o e.firmature si es necesario. El envío se realizará utilizando la firma e."
¿Quién debe presentar estas declaraciones?,Las personas morales están obligadas a retener el impuesto sobre el valor añadido.
